2026-01-14 19:42:48,400 | INFO | __main__ | Loading ML model...
2026-01-14 19:42:48,462 | INFO | __main__ | ML model loaded successfully
2026-01-14 19:42:51,079 | INFO | __main__ | Prediction -> Grade: C, Confidence: 49.50%
2026-01-14 19:42:51,080 | WARNING | __main__ | Low confidence prediction detected
2026-01-14 19:42:51,091 | INFO | __main__ | Final Output -> {'error': False, 'predicted_grade': 'C', 'confidence': np.float64(49.5), 'is_confident': np.False_}
2026-01-14 19:46:13,779 | INFO | main | Loading ML model...
2026-01-14 19:46:13,837 | INFO | main | ML model loaded successfully
2026-01-14 19:46:13,838 | INFO | FlaskApp | Starting Flask server...
2026-01-14 19:46:16,192 | INFO | main | Loading ML model...
2026-01-14 19:46:16,250 | INFO | main | ML model loaded successfully
2026-01-14 19:46:16,250 | INFO | FlaskApp | Starting Flask server...
2026-01-14 19:47:52,164 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-14 19:47:52,164 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-14 19:48:13,628 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-14 19:48:13,629 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-14 19:48:50,711 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-14 19:48:50,711 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-14 19:48:52,463 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-14 19:48:52,463 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-14 19:48:53,060 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-14 19:48:53,060 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-14 19:48:55,404 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-14 19:48:55,404 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-14 19:50:11,397 | WARNING | main | Input validation failed: Input text is empty.
2026-01-14 19:50:11,397 | WARNING | FlaskApp | Prediction failed: Input text is empty.
2026-01-14 19:50:29,307 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-14 19:50:29,307 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-14 19:52:23,327 | INFO | main | Prediction -> Grade: A, Confidence: 80.50%
2026-01-14 19:52:23,328 | INFO | FlaskApp | Prediction served successfully via API
2026-01-14 19:55:12,718 | INFO | main | Prediction -> Grade: A, Confidence: 69.00%
2026-01-14 19:55:12,718 | INFO | FlaskApp | Prediction served successfully via API
2026-01-14 19:57:24,252 | INFO | main | Loading ML model...
2026-01-14 19:57:24,310 | INFO | main | ML model loaded successfully
2026-01-14 19:57:24,311 | INFO | FlaskApp | Starting Flask server...
2026-01-14 19:57:26,651 | INFO | main | Loading ML model...
2026-01-14 19:57:26,706 | INFO | main | ML model loaded successfully
2026-01-14 19:57:26,706 | INFO | FlaskApp | Starting Flask server...
2026-01-14 19:57:30,748 | WARNING | main | Input validation failed: Text does not contain enough words.
2026-01-14 19:57:30,748 | WARNING | FlaskApp | Prediction failed: Text does not contain enough words.
2026-01-14 19:59:11,005 | INFO | main | Loading ML model...
2026-01-14 19:59:11,062 | INFO | main | ML model loaded successfully
2026-01-14 19:59:11,063 | INFO | FlaskApp | Starting Flask server...
2026-01-14 19:59:13,898 | INFO | main | Prediction -> Grade: A, Confidence: 80.50%
2026-01-14 19:59:13,898 | INFO | FlaskApp | Prediction served successfully via API
2026-01-14 19:59:56,331 | INFO | main | Loading ML model...
2026-01-14 19:59:56,387 | INFO | main | ML model loaded successfully
2026-01-14 19:59:56,388 | INFO | FlaskApp | Starting Flask server...
2026-01-14 19:59:58,710 | INFO | main | Loading ML model...
2026-01-14 19:59:58,766 | INFO | main | ML model loaded successfully
2026-01-14 19:59:58,766 | INFO | FlaskApp | Starting Flask server...
2026-01-14 20:10:50,221 | INFO | main | Loading ML model...
2026-01-14 20:10:50,280 | INFO | main | ML model loaded successfully
2026-01-14 20:10:50,281 | INFO | FlaskApp | Starting Flask server...
2026-01-14 20:10:52,589 | INFO | main | Loading ML model...
2026-01-14 20:10:52,645 | INFO | main | ML model loaded successfully
2026-01-14 20:10:52,646 | INFO | FlaskApp | Starting Flask server...
2026-01-14 20:11:49,099 | INFO | main | Prediction -> Grade: A, Confidence: 80.50%
2026-01-14 20:11:49,100 | INFO | FlaskApp | Prediction served successfully via API
2026-01-14 20:14:44,292 | INFO | main | Loading ML model...
2026-01-14 20:14:44,358 | INFO | main | ML model loaded successfully
2026-01-14 20:14:44,358 | INFO | FlaskApp | Starting Flask server...
2026-01-14 20:14:46,758 | INFO | main | Loading ML model...
2026-01-14 20:14:46,817 | INFO | main | ML model loaded successfully
2026-01-14 20:14:46,817 | INFO | FlaskApp | Starting Flask server...
2026-01-14 20:15:05,384 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-14 20:15:05,384 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-14 20:15:54,935 | INFO | main | Prediction -> Grade: A, Confidence: 82.00%
2026-01-14 20:15:54,935 | INFO | FlaskApp | Prediction served successfully via API
2026-01-14 20:17:58,674 | INFO | main | Loading ML model...
2026-01-14 20:17:58,732 | INFO | main | ML model loaded successfully
2026-01-14 20:17:58,732 | INFO | FlaskApp | Starting Flask server...
2026-01-14 20:18:14,932 | INFO | main | Loading ML model...
2026-01-14 20:18:14,989 | INFO | main | ML model loaded successfully
2026-01-14 20:18:14,989 | INFO | FlaskApp | Starting Flask server...
2026-01-14 20:18:44,782 | INFO | main | Loading ML model...
2026-01-14 20:18:44,847 | INFO | main | ML model loaded successfully
2026-01-14 20:18:44,847 | INFO | FlaskApp | Starting Flask server...
2026-01-14 20:18:47,185 | INFO | main | Loading ML model...
2026-01-14 20:18:47,241 | INFO | main | ML model loaded successfully
2026-01-14 20:18:47,241 | INFO | FlaskApp | Starting Flask server...
2026-01-14 20:19:13,435 | INFO | main | Prediction -> Grade: A, Confidence: 82.00%
2026-01-14 20:19:13,435 | INFO | FlaskApp | Prediction served successfully via API
2026-01-14 20:21:21,054 | INFO | main | Prediction -> Grade: A, Confidence: 59.00%
2026-01-14 20:21:21,054 | WARNING | main | Low confidence prediction detected
2026-01-14 20:21:21,054 | INFO | FlaskApp | Prediction served successfully via API
2026-01-14 20:22:01,016 | INFO | main | Prediction -> Grade: C, Confidence: 52.00%
2026-01-14 20:22:01,016 | WARNING | main | Low confidence prediction detected
2026-01-14 20:22:01,016 | INFO | FlaskApp | Prediction served successfully via API
2026-01-14 20:22:13,751 | INFO | main | Prediction -> Grade: A, Confidence: 82.00%
2026-01-14 20:22:13,751 | INFO | FlaskApp | Prediction served successfully via API
2026-01-16 19:00:19,710 | INFO | main | Loading ML model...
2026-01-16 19:00:20,042 | INFO | main | ML model loaded successfully
2026-01-16 19:00:20,042 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:00:22,413 | INFO | main | Loading ML model...
2026-01-16 19:00:22,470 | INFO | main | ML model loaded successfully
2026-01-16 19:00:22,471 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:01:21,534 | INFO | main | Prediction -> Grade: A, Confidence: 80.50%
2026-01-16 19:01:21,535 | INFO | FlaskApp | Prediction served successfully via API
2026-01-16 19:03:46,961 | INFO | main | Prediction -> Grade: A, Confidence: 86.50%
2026-01-16 19:03:46,962 | INFO | FlaskApp | Prediction served successfully via API
2026-01-16 19:04:12,359 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 19:04:12,359 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 19:04:23,647 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 19:04:23,647 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 19:04:24,464 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 19:04:24,465 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 19:37:53,886 | INFO | main | Loading ML model...
2026-01-16 19:37:53,959 | INFO | main | ML model loaded successfully
2026-01-16 19:37:53,959 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:37:57,480 | INFO | main | Loading ML model...
2026-01-16 19:37:57,536 | INFO | main | ML model loaded successfully
2026-01-16 19:37:57,536 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:38:08,365 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 19:38:08,366 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 19:41:39,206 | INFO | main | Loading ML model...
2026-01-16 19:41:39,265 | INFO | main | ML model loaded successfully
2026-01-16 19:41:39,265 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:41:43,629 | INFO | main | Loading ML model...
2026-01-16 19:41:43,824 | INFO | main | ML model loaded successfully
